EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:21:27	0	0.0500	3.8560402960526314	3.4872236251831055	0.0004	0.0045	0.0007	0.0003
2	16:21:34	0	0.0500	3.461253597861842	3.0720841884613037	0.0004	0.0045	0.0007	0.0003
3	16:21:43	1	0.0500	2.9552369449013156	2.62298583984375	0.0001	0.0015	0.0002	0.0001
4	16:21:50	2	0.0500	2.518706568667763	2.1262366771698	0.0001	0.0015	0.0003	0.0001
5	16:21:55	0	0.0500	2.0412002724095393	1.6062967777252197	0.0005	0.0015	0.0008	0.0004
6	16:22:02	1	0.0500	1.4900717002467105	1.140008807182312	0.0	0.0	0.0	0.0
7	16:22:07	2	0.0500	1.0937201891447368	0.842388927936554	0.0	0.0	0.0	0.0
8	16:22:13	3	0.0500	0.7877287212171052	0.6944868564605713	0.0	0.0	0.0	0.0
9	16:22:19	4	0.0500	0.6730756578947369	0.6389280557632446	0.0	0.0	0.0	0.0
10	16:22:24	1	0.0250	0.5825205592105264	0.6299160718917847	0.0	0.0	0.0	0.0
11	16:22:30	2	0.0250	0.5957360197368421	0.6283536553382874	0.0	0.0	0.0	0.0
12	16:22:36	3	0.0250	0.6009097450657894	0.6171218156814575	0.0	0.0	0.0	0.0
13	16:22:43	4	0.0250	0.5852189555921052	0.6123790144920349	0.0	0.0	0.0	0.0
14	16:22:49	1	0.0125	0.5483876439144737	0.6088904738426208	0.0	0.0	0.0	0.0
15	16:22:56	2	0.0125	0.5516354851973684	0.6031208038330078	0.0	0.0	0.0	0.0
